                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.1512,                0.92857,                      1,                0.17725,              8.568e-05,              8.568e-05,              8.568e-05
                      2,                0.05165,                      1,                      1,                0.12002,             0.00017143,             0.00017143,             0.00017143
                      3,                0.01508,                      1,                      1,                0.10606,             0.00024983,             0.00024983,             0.00024983
                      4,                0.00343,                      1,                      1,                0.10367,             0.00032088,             0.00032088,             0.00032088
                      5,                0.00265,                      1,                      1,                0.10313,             0.00038458,             0.00038458,             0.00038458
                      6,                0.00072,                      1,                      1,                0.10295,             0.00044092,             0.00044092,             0.00044092
                      7,                 0.0003,                      1,                      1,                0.10291,             0.00048992,             0.00048992,             0.00048992
                      8,                0.00025,                      1,                      1,                0.10286,             0.00051608,             0.00051608,             0.00051608
                      9,                0.00041,                      1,                      1,                0.10286,             0.00051608,             0.00051608,             0.00051608
                     10,                 0.0001,                      1,                      1,                0.10284,              0.0004878,              0.0004878,              0.0004878
                     11,                0.00027,                      1,                      1,                0.10282,             0.00045953,             0.00045953,             0.00045953
                     12,                0.00019,                      1,                      1,                0.10282,             0.00043126,             0.00043126,             0.00043126
                     13,                0.00014,                      1,                      1,                0.10281,             0.00040298,             0.00040298,             0.00040298
                     14,                  7e-05,                      1,                      1,                0.10282,             0.00037471,             0.00037471,             0.00037471
                     15,                0.00017,                      1,                      1,                0.10282,             0.00034643,             0.00034643,             0.00034643
                     16,                0.00011,                      1,                      1,                0.10282,             0.00031816,             0.00031816,             0.00031816
                     17,                  7e-05,                      1,                      1,                0.10282,             0.00028988,             0.00028988,             0.00028988
                     18,                0.00019,                      1,                      1,                0.10281,             0.00026161,             0.00026161,             0.00026161
                     19,                  9e-05,                      1,                      1,                0.10281,             0.00023334,             0.00023334,             0.00023334
                     20,                  4e-05,                      1,                      1,                0.10281,             0.00020506,             0.00020506,             0.00020506
                     21,                 0.0001,                      1,                      1,                0.10281,             0.00017679,             0.00017679,             0.00017679
                     22,                0.00013,                      1,                      1,                0.10281,             0.00014851,             0.00014851,             0.00014851
                     23,                  5e-05,                      1,                      1,                0.10281,             0.00012024,             0.00012024,             0.00012024
                     24,                  7e-05,                      1,                      1,                0.10281,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     25,                  8e-05,                      1,                      1,                0.10281,             6.3689e-05,             6.3689e-05,             6.3689e-05
