epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.27,0.64506,0.92105,1,0.41883,0.00018337,0.00018337,0.00018337
2,24.0183,0.31652,1,1,0.07682,0.000368227,0.000368227,0.000368227
3,35.3873,0.13422,1,1,0.01822,0.000537241,0.000537241,0.000537241
4,46.6683,0.04278,1,1,0.00111,0.000690411,0.000690411,0.000690411
5,57.9813,0.01805,1,1,0.00025,0.000827739,0.000827739,0.000827739
6,69.1643,0.0145,1,1,3e-05,0.000949223,0.000949223,0.000949223
7,80.3993,0.02004,1,1,0,0.00105486,0.00105486,0.00105486
8,91.6543,0.00739,1,1,0,0.00114466,0.00114466,0.00114466
9,102.884,0.00259,1,1,1e-05,0.00113889,0.00113889,0.00113889
10,114.194,0.03034,1,1,2e-05,0.00107288,0.00107288,0.00107288
11,125.416,0.00189,1,1,0.00011,0.00100687,0.00100687,0.00100687
12,136.593,0.00473,1,1,6e-05,0.000940855,0.000940855,0.000940855
